,headline,global_index,index,con,newsOrder,word_count
0,Qatar's emir in Cairo for 1st time since Arab spat resolved,800,original,0,0,11
11,UN urges Libya's rivals to agree on elections this week,803,original,0,3,10
15,Fertiliser shortage hits African farmers battling food crisis,804,original,0,4,8
18,Intact wooly mammoth baby uncovered in northwestern Canada,817,original,0,17,8
26,Deadline passes and 1 in 10 Army National Guard soldiers still unvaccinated for Covid. Will they be expelled?,805,original,0,5,18
35,US grapples with whether to modify COVID vaccine for fall,806,original,0,6,10
39,U.S.-Iran nuclear negotiations in Qatar end without breakthrough,802,original,0,2,8
42,UK Plan to Override Brexit Deal Passes Hurdle With Tory Dissent,801,original,0,1,11
48,Moment of reckoning:' Federal official warns of Colorado River water supply cuts,814,original,0,14,12
57,Nearly a quarter of Earth's seafloor now mapped,816,original,0,16,8
63,"COVID vaccines saved 20M lives in 1st year, scientists say",808,original,0,8,10
66,Photo shows newly-discovered bacteria so large they are visible to the naked eye,818,original,0,18,13
72,"Leaf blowers, lawn mowers and fertilizer: How lawns contribute to climate change",812,original,0,12,12
80,Moment of reckoning:' Federal official warns of Colorado River water supply cuts,810,original,0,10,12
86,Ancient fossils in the 'Cradle of Humankind' are more than 1 million years older than previously thought,819,original,0,19,17
95,U.S. Forest Service admits climate change miscalculation in New Mexico fire,813,original,0,13,11
98,"As COVID fears ebb, Japan readies for tourists from abroad",807,original,0,7,10
105,"It's not summer yet, but climate change is already showing its teeth in 2022",811,original,0,11,14
108,Earliest evidence of wildfire found in Wales,815,original,0,15,7
115,Should you get a COVID-19 booster shot now or wait until fall? Two immunologists help weigh the options,809,original,0,9,18
4,Qatar's Emir Arrives in Cairo for Talks with President el-Sissi,820,gpt3,1,0,10
8,Libya's Rival Factions Urged to Reach Agreement on Elections,823,gpt3,1,3,9
17,Tanzania farmers struggling to keep crops alive amid global fertiliser shortage,824,gpt3,1,4,11
20,"30,000-year-old baby woolly mammoth found in Canada",837,gpt3,1,17,7
25,Army National Guard Faces Recruiting Crisis Amid Covid Vaccine Deadline,825,gpt3,1,5,10
33,U.S. health authorities debate offering new COVID-19 booster shots to better match recent changes in the shape-shifting coronavirus.,826,gpt3,1,6,18
37,Indirect Talks Between Iran and U.S. End Without Breakthrough,822,gpt3,1,2,9
